Date,Last Price
12/23/2022,1873
12/22/2022,1887
12/21/2022,1921
12/20/2022,1951
12/19/2022,2043
12/16/2022,2078
12/15/2022,2092
12/14/2022,2079
12/13/2022,2086
12/12/2022,2106
12/9/2022,2110
12/8/2022,2089
12/7/2022,2095
12/6/2022,2112
12/5/2022,2196
12/2/2022,2220
12/1/2022,2260
11/30/2022,2353
11/29/2022,2433
11/28/2022,2468
11/25/2022,2494
11/24/2022,2487
11/23/2022,2495
11/22/2022,2496
11/21/2022,2459
11/18/2022,2365
11/17/2022,2197
11/16/2022,2033
11/15/2022,1961
11/14/2022,1906
11/11/2022,1894
11/10/2022,1885
11/9/2022,1874
11/8/2022,1857
11/7/2022,1842
11/4/2022,1836
11/3/2022,1828
11/2/2022,1819
11/1/2022,1811
10/31/2022,1827
10/28/2022,1823
10/27/2022,1816
10/26/2022,1804
10/25/2022,1793
10/24/2022,1791
10/21/2022,1737
10/20/2022,1725
10/19/2022,1710
10/18/2022,1693
10/17/2022,1621
10/14/2022,1554
10/13/2022,1514
10/12/2022,1481
10/11/2022,1465
10/10/2022,1459
10/7/2022,1461
10/6/2022,1461
10/5/2022,1457
10/4/2022,1462
10/3/2022,1476
9/30/2022,1477
9/29/2022,1484
9/28/2022,1497
9/27/2022,1506
9/26/2022,1507
9/23/2022,1498
9/22/2022,1497
9/21/2022,1501
9/20/2022,1508
9/16/2022,1492
9/15/2022,1464
9/14/2022,1461
9/13/2022,1455
9/12/2022,1439
9/9/2022,1432
9/8/2022,1416
9/7/2022,1420
9/6/2022,1439
9/5/2022,1471
9/2/2022,1489
9/1/2022,1504
8/31/2022,1512
8/30/2022,1526
8/26/2022,1554
8/25/2022,1550
8/24/2022,1542
8/23/2022,1549
8/22/2022,1548
8/19/2022,1554
8/18/2022,1553
8/17/2022,1547
8/16/2022,1515
8/15/2022,1488
8/12/2022,1475
8/11/2022,1469
8/10/2022,1463
8/9/2022,1455
8/8/2022,1451
8/5/2022,1448
8/4/2022,1437
8/3/2022,1454
8/2/2022,1474
8/1/2022,1472
7/29/2022,1466
7/28/2022,1442
7/27/2022,1446
7/26/2022,1468
7/25/2022,1483
7/22/2022,1485
7/21/2022,1481
7/20/2022,1467
7/19/2022,1448
7/18/2022,1413
7/15/2022,1369
7/14/2022,1369
7/13/2022,1378
7/12/2022,1373
7/11/2022,1363
7/8/2022,1333
7/7/2022,1286
7/6/2022,1260
7/5/2022,1226
7/4/2022,1222
7/1/2022,1224
6/30/2022,1234
6/29/2022,1225
6/28/2022,1212
